"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Glaeubiger ID";"Mandatsreferenz";"Kundenreferenz (End-to-End)";"Sammlerreferenz";"Lastschrift Ursprungsbetrag";"Auslagenersatz Ruecklastschrift";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE12500500000123456789";"02.01.25";"02.01.25";"FOLGELASTSCHRIFT";"Einzahlung Trade Republic 2025-01";"DE00ZZZ00000TRADE01";"TR-MANDATE-1";"NOTPROVIDED";"";"";"";"Trade Republic Bank GmbH";"DE00100123450000000001";"";"-500,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"03.01.25";"03.01.25";"DAUERAUFTRAG";"Miete Wohnung 3.OG links";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Beispiel";"DE00300000000000000002";"";"-650,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"04.01.25";"04.01.25";"KARTENZAHLUNG";"2025-01-04T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-61,68";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"05.01.25";"05.01.25";"FOLGELASTSCHRIFT";"Abschlag Strom Kd 4711 01/2025";"DE00ZZZ00000STADTW";"SW-4711";"NOTPROVIDED";"";"";"";"Stadtwerke Musterstadt";"DE00300000000000000003";"";"-65,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"06.01.25";"06.01.25";"FOLGELASTSCHRIFT";"Telekom Rechnung Festnetz";"DE00ZZZ00000TELEKOM";"TK-1";"NOTPROVIDED";"";"";"";"Telekom Deutschland GmbH";"DE00300000000000000004";"";"-39,95";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.01.25";"09.01.25";"FOLGELASTSCHRIFT";"1043812 PP.2211.PP . Spotify, Ihr Einkauf bei Spotify";"LU96ZZZ0000000000000000058";"PAYPAL-1";"NOTPROVIDED";"";"";"";"PayPal Europe S.a.r.l. et Cie S.C.A";"LU00000000000000000005";"";"-10,99";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"09.01.25";"09.01.25";"KARTENZAHLUNG";"2025-01-09T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-36,01";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"13.01.25";"13.01.25";"BARGELDAUSZAHLUNG";"GA NR00001234 BLZ50050000";"";"";"NOTPROVIDED";"";"";"";"Sparkasse Musterstadt";"";"";"-50,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"14.01.25";"14.01.25";"KARTENZAHLUNG";"2025-01-14T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-19,45";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"15.01.25";"15.01.25";"FOLGELASTSCHRIFT";"Beitrag Haftpflicht Vertrag 99";"DE00ZZZ00000HUK";"HUK-99";"NOTPROVIDED";"";"";"";"HUK-COBURG Versicherung";"DE00300000000000000007";"";"-120,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"19.01.25";"19.01.25";"KARTENZAHLUNG";"2025-01-19T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"dm-drogerie markt";"";"";"-47,05";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"24.01.25";"24.01.25";"KARTENZAHLUNG";"2025-01-24T18:10 Debitk.1 2028-12";"";"";"NOTPROVIDED";"";"";"";"EDEKA Center";"";"";"-13,84";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.01.25";"28.01.25";"ABSCHLUSS";"Entgelt Kontofuehrung";"";"";"NOTPROVIDED";"";"";"";"";"";"";"-5,90";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"28.01.25";"28.01.25";"LOHN/GEHALT";"LOHN/GEHALT 01/2025 Personalnr 123";"";"";"NOTPROVIDED";"";"";"";"Muster GmbH";"DE00300000000000000006";"";"2100,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"02.02.25";"02.02.25";"FOLGELASTSCHRIFT";"Einzahlung Trade Republic 2025-02";"DE00ZZZ00000TRADE01";"TR-MANDATE-1";"NOTPROVIDED";"";"";"";"Trade Republic Bank GmbH";"DE00100123450000000001";"";"-500,00";"EUR";"Umsatz gebucht"
"DE12500500000123456789";"03.02.25";"03.02.25";"DAUERAUFTRAG";"Miete Wohnung 3.OG links";"";"";"NOTPROVIDED";"";"";"";"Hausverwaltung Beispiel";"DE00300000000000000002";"";"-650,00";"EUR";"Umsatz gebucht"
